[DEBUG] 2018-05-02 04:24:39.013 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@69e1ab8c
[DEBUG] 2018-05-02 04:24:39.040 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4c3070e4
[DEBUG] 2018-05-02 04:24:39.041 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4c3070e4
[DEBUG] 2018-05-02 04:24:39.066 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@2866edcb
[DEBUG] 2018-05-02 04:24:39.067 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@2866edcb
[DEBUG] 2018-05-02 04:24:39.088 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@1ada1911
[DEBUG] 2018-05-02 04:24:39.089 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@1ada1911
[DEBUG] 2018-05-02 04:24:39.119 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@73587465
[DEBUG] 2018-05-02 04:24:39.120 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@73587465
[DEBUG] 2018-05-02 04:24:39.160 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@a6472ff
[DEBUG] 2018-05-02 04:24:39.160 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@a6472ff
[DEBUG] 2018-05-02 04:24:39.167 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@47091bbb
[DEBUG] 2018-05-02 04:24:39.196 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@a4edd86
[DEBUG] 2018-05-02 04:24:39.196 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@a4edd86
[DEBUG] 2018-05-02 04:24:39.197 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@a4edd86
[DEBUG] 2018-05-02 04:24:39.221 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6512bdb8
[DEBUG] 2018-05-02 04:24:39.224 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6512bdb8
